"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION"
"AGE00147709","FORT NATIONAL, AG","36.63","4.2","942"
"AGE00147708","TIZI OUZOU, AG","36.72","4.05","222"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767"
"AGE00147712","ORLEANSVILLE CHLEF, AG","36.17","1.34","112"
"AGE00147711","CONSTANTINE, AG","36.3697","6.62","660"
"AGE00147713","SETIF, AG","36.18","5.4","1081"
"AGE00147716","NEMOURS GHAZAOUET, AG","35.1","-1.85","83"
"AGE00147715","TEBESSA, AG","35.42","8.1197","863"
"AGE00147718","BISKRA, AG","34.85","5.72","125"
"AGE00147706","ALGIERS BOUZAREAH, AG","36.8","3.03","344"
"AGE00147717","SIDI BEL ABBES, AG","35.2","0.63","476"
"AGE00147720","GERYVILLE EL BAYADH, AG","33.68","1","1320"
"AG000060590","EL GOLEA, AG","30.5667","2.8667","397"
"AGE00135039","ORAN HOPITAL MILITAIRE, A","35.7297","0.65","50"
"AGE00147714","ORAN CAP FALCON, AG","35.77","0.8","78"
"AGE00147780","SKIKDA CAP BOUGAROUNI, AG","37.08","6.47","195"
"AGM00060425","ECH CHELIFF, AG","36.213","1.332","141.1"
"AGM00060656","TINDOUF, AG","27.7","-8.167","442.9"
"AGM00060419","MOHAMED BOUDIAF INTERNATI","36.276","6.62","690.4"
"AGM00060507","GHRISS, AG","35.208","0.147","513.9"
"AG000060390","ALGER DAR EL BEIDA, AG","36.7167","3.25","24"
"AGM00060360","ANNABA, AG","36.822","7.809","4.9"
"AG000060680","TAMANRASSET, AG","22.8","5.4331","1362"
"AGM00060445","SETIF AIN ARNAT, AG","36.178","5.324","1050"
"AGM00060555","SIDI MAHDI, AG","33.068","6.089","85"
"AG000060611","IN AMENAS, AG","28.05","9.6331","561"
"AGM00060490","ES SENIA, AG","35.624","-0.621","89.9"
"AGM00060580","OUARGLA, AG","31.917","5.413","150"
"AGM00060571","BECHAR, AG","31.646","-2.27","811.1"
"AGM00060475","CHEIKH LARBI TEBESSI, AG","35.432","8.121","811.1"
"AGM00060430","MILIANA, AG","36.3","2.233","721"
"AGM00060410","TENES, AG","36.5","1.333","18"
"AGM00060559","GUEMAR, AG","33.511","6.777","61.9"
"AGM00060670","TISKA, AG","24.293","9.452","968"
"AGM00060630","IN SALAH, AG","27.233","2.5","269"
"AGM00060566","NOUMERAT, AG","32.384","3.794","460.9"
"AGM00060607","TIMIMOUN, AG","29.237","0.276","313"
"AGM00060581","OUED IRARA, AG","31.673","6.14","141.1"
"AGM00060640","ILLIZI TAKHAMALT, AG","26.724","8.623","541.9"
"AGM00060620","TOUAT CHEIKH SIDI MOHAMED","27.838","-0.186","280.1"
"AGM00060457","MOSTAGANEM, AG","35.883","0.117","138"
"AGM00060535","DJELFA TLETSI, AG","34.683","3.25","1144"
"AGM00060518","BENI SAF, AG","35.3","-1.35","70"
"AGM00060550","EL BAYADH, AG","33.667","1","1347"
"AGM00060402","SOUMMAM, AG","36.712","5.07","6.1"
"AGM00060468","BATNA, AG","35.55","6.183","1052"
"AGM00060522","MAGHNIA, AG","34.82","-1.77","426"
"AGM00060602","BENI ABBES, AG","30.133","-2.167","505"
"AGM00060444","BORDJ BOU ARRERIDJ, AG","36.067","4.767","930"
"AGM00060511","BOU CHEKIF, AG","35.341","1.463","989.1"
"AGM00060515","BOU SAADA, AG","35.333","4.206","459"
"AGM00060351","JIJEL, AG","36.795","5.874","11"
"AGM00060560","AIN SEFRA, AG","32.767","-0.6","1059"
"AGM00060536","SAIDA, AG","34.867","0.15","752"
"AGM00060452","ARZEW, AG","35.817","-0.267","4"
"AGM00060531","ZENATA, AG","35.017","-1.45","248.1"
"AGM00060467","M SILA, AG","35.667","4.5","442"
"AGM00060549","MECHERIA, AG","33.536","-0.242","1175"
"AGM00060506","MASCARA MATEMORE, AG","35.6","0.3","476"
"AGM00060540","EL KHEITER, AG","34.15","0.067","1001"
"AGM00060421","OUM EL BOUAGHI, AG","35.867","7.117","891"
"AGM00060437","MEDEA, AG","36.283","2.733","1036"
"AGM00060514","KSAR CHELLALA, AG","35.167","2.317","801"
"AGM00060557","NAAMA, AG","33.267","-0.3","1166"
"AGM00060353","JIJEL PORT, AG","36.817","5.883","6"
"AGM00060476","KHENCHELLA, AG","35.467","7.083","987"
"AGM00060403","GUELMA, AG","36.467","7.467","228"
"AGM00060686","BORDJ BADJ MOKHTAR, AG","21.333","0.95","399"
"AGM00060520","SIDI BEL ABBES, AG","35.2","-0.617","476"
"AGM00060417","BOUIRA, AG","36.383","3.883","560"
"AGM00060690","IN GUEZZAM, AG","19.567","5.767","401"
"AGM00060423","SOUK AHRAS, AG","36.283","7.967","680"
"AGM00060461","ORAN PORT, AG","35.7","-0.65","22"
"AGM00060471","BARIKA, AG","35.333","5.333","461"
"AGM00060405","BOUCHEGOUF, AG","36.5","7.717","111"
"AGM00060603","RHOURD NOUSS, AG","29.717","6.7","252"
"AGM00060563","HASSIR MEL, AG","32.933","3.283","764"
"AGM00060415","AIN BESSAM, AG","36.317","3.533","748"
"MOW00013020","SIDI SLIMANE, MO","34.2333","-6.06667","55.2"
"MOW00013017","KENITRA PORT LYAUTEY, MO","34.3","-6.6","12.2"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206"
"MOM00060155","ANFA, MO","33.557","-7.66","61.9"
"MOW00013019","NOUASSEUR, MO","33.3667","-7.58333","200.3"
"SP000060338","MELILLA, SP","35.2778","-2.9553","47"
"MO000060265","OUARZAZATE, MO","30.93","-6.9","1139"
"MOM00060135","SALE, MO","34.051","-6.752","84.1"
"MOE00147756","TETUAN, MO","35.58","-5.33","10"
"MOE00147755","OUJDA, MO","34.78","-1.93","468"
"MOE00147752","TANGIER CITY, MO","35.78","-5.82","86"
"MOM00060318","SANIAT RMEL, MO","35.594","-5.32","3"
"MOE00147754","AL HOCEIMA, MO","35.18","-3.85","27"
"MOW00013023","BEN GUERIR, MO","32.1167","-7.88333","448.1"
"MOE00147753","TANGIER AIRPORT, MO","35.7297","-5.9","19"
"MOM00060220","ESSAOUIRA, MO","31.398","-9.682","117"
"MO000060195","MIDELT, MO","32.68","-4.73","1508"
"MOM00060230","MENARA, MO","31.607","-8.036","467.9"
"MOM00060150","BASSATINE, MO","33.879","-5.515","576.1"
"TS000060765","GABES, TS","33.88","10.1","4"
"TSE00147775","SFAX EL MAOU, TS","34.72","10.68","21"
"TSM00060745","GAFSA, TS","34.422","8.823","323.1"
"TSE00147776","TOZEUR, TS","33.92","8.1","87"
"TS000060725","JENDOUBA, TS","36.48","8.8","143"
"TSE00147770","TUNIS CARTHAGE, TS","36.83","10.23","3"
"TSE00147771","KELIBIA, TS","36.85","11.08","29"
"TSM00060715","CARTHAGE, TS","36.851","10.227","6.7"
"TSE00147773","KAIROUAN, TS","35.67","10.1","60"
"TSE00147767","BIZERTE CAP BLANC, TS","37.33","9.84","264"
"TSE00147768","BIZERTE KAROUBA, TS","37.25","9.8","5"
"TSE00147769","TUNIS, TS","36.8","10.17","36"
